Date,Description,Amount,Type,Category,Account Name,Month
2018-09-28,Credit Card Payment,128.12,Income,Credit Card Payment,Silver Card,2018-09
2018-09-28,Credit Card Payment,284.96,Income,Credit Card Payment,Platinum Card,2018-09
2018-09-28,Credit Card Payment,-284.96,Expense,Credit Card Payment,Checking,2018-09
2018-09-28,Grocery Store,-13.36,Expense,Groceries,Platinum Card,2018-09
2018-09-28,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-09
2018-09-29,Greek Restaurant,-23.26,Expense,Restaurants,Platinum Card,2018-09
2018-09-29,German Restaurant,-46.7,Expense,Restaurants,Platinum Card,2018-09
2018-10-01,Starbucks,-3.0,Expense,Coffee Shops,Platinum Card,2018-10
2018-10-01,Credit Card Payment,-128.12,Expense,Credit Card Payment,Checking,2018-10
2018-10-01,Grocery Store,-15.66,Expense,Groceries,Platinum Card,2018-10
2018-10-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-10
2018-10-02,Credit Card Payment,124.03,Income,Credit Card Payment,Platinum Card,2018-10
2018-10-02,Credit Card Payment,-124.03,Expense,Credit Card Payment,Checking,2018-10
2018-10-02,Mortgage Payment,-1209.18,Expense,Mortgage & Rent,Checking,2018-10
2018-10-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-10
2018-10-06,American Tavern,-27.0,Expense,Restaurants,Silver Card,2018-10
2018-10-08,Shell,-38.06,Expense,Gas & Fuel,Silver Card,2018-10
2018-10-08,Hardware Store,-80.65,Expense,Home Improvement,Silver Card,2018-10
2018-10-08,Hardware Store,-31.2,Expense,Home Improvement,Silver Card,2018-10
2018-10-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-10
2018-10-09,Amazon,-19.98,Expense,Shopping,Platinum Card,2018-10
2018-10-09,Gas Company,-30.0,Expense,Utilities,Checking,2018-10
2018-10-10,Grocery Store,-53.68,Expense,Groceries,Silver Card,2018-10
2018-10-11,Phone Company,-89.4,Expense,Mobile Phone,Checking,2018-10
2018-10-12,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-10
2018-10-16,Power Company,-60.0,Expense,Utilities,Checking,2018-10
2018-10-17,City Water Charges,-35.0,Expense,Utilities,Checking,2018-10
2018-10-18,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-10
2018-10-18,Grocery Store,-33.55,Expense,Groceries,Platinum Card,2018-10
2018-10-18,Hardware Store,-45.24,Expense,Home Improvement,Platinum Card,2018-10
2018-10-18,Brunch Restaurant,-8.0,Expense,Restaurants,Platinum Card,2018-10
2018-10-21,Credit Card Payment,544.37,Income,Credit Card Payment,Platinum Card,2018-10
2018-10-22,Credit Card Payment,353.83,Income,Credit Card Payment,Silver Card,2018-10
2018-10-22,Credit Card Payment,-353.83,Expense,Credit Card Payment,Checking,2018-10
2018-10-22,BP,-34.66,Expense,Gas & Fuel,Platinum Card,2018-10
2018-10-23,Grocery Store,-7.57,Expense,Groceries,Platinum Card,2018-10
2018-10-25,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-10
2018-10-25,Amazon,-29.98,Expense,Shopping,Platinum Card,2018-10
2018-10-26,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-10
2018-10-27,American Tavern,-25.4,Expense,Restaurants,Silver Card,2018-10
2018-10-28,Brewing Company,-12.71,Expense,Alcohol & Bars,Platinum Card,2018-10
2018-10-28,Seafood Restaurant,-14.75,Expense,Other,Platinum Card,2018-10
2018-10-28,Grocery Store,-92.49,Expense,Groceries,Platinum Card,2018-10
2018-10-28,Italian Restaurant,-54.0,Expense,Restaurants,Platinum Card,2018-10
2018-10-31,Grocery Store,-5.64,Expense,Groceries,Platinum Card,2018-10
2018-11-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-11
2018-11-02,Credit Card Payment,262.51,Income,Credit Card Payment,Platinum Card,2018-11
2018-11-02,Credit Card Payment,-262.51,Expense,Credit Card Payment,Checking,2018-11
2018-11-02,Mortgage Payment,-1209.18,Expense,Mortgage & Rent,Checking,2018-11
2018-11-03,Pizza Place,-23.66,Expense,Fast Food,Platinum Card,2018-11
2018-11-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-11
2018-11-05,Shell,-36.51,Expense,Gas & Fuel,Platinum Card,2018-11
2018-11-06,Amazon,-53.95,Expense,Shopping,Platinum Card,2018-11
2018-11-06,Gas Company,-30.0,Expense,Utilities,Checking,2018-11
2018-11-08,Grocery Store,-5.64,Expense,Groceries,Platinum Card,2018-11
2018-11-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-11
2018-11-09,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-11
2018-11-10,Brewing Company,-27.0,Expense,Alcohol & Bars,Platinum Card,2018-11
2018-11-10,Chick-Fil-A,-14.19,Expense,Fast Food,Platinum Card,2018-11
2018-11-10,Food Truck,-24.4,Expense,Groceries,Platinum Card,2018-11
2018-11-12,Grocery Store,-10.18,Expense,Groceries,Platinum Card,2018-11
2018-11-12,American Tavern,-22.33,Expense,Restaurants,Silver Card,2018-11
2018-11-13,Grocery Store,-4.8,Expense,Groceries,Platinum Card,2018-11
2018-11-13,Grocery Store,-37.43,Expense,Groceries,Platinum Card,2018-11
2018-11-13,Grocery Store,-10.15,Expense,Groceries,Platinum Card,2018-11
2018-11-13,Phone Company,-89.54,Expense,Mobile Phone,Checking,2018-11
2018-11-14,Power Company,-60.0,Expense,Utilities,Checking,2018-11
2018-11-16,City Water Charges,-35.0,Expense,Utilities,Checking,2018-11
2018-11-17,Brewing Company,-22.8,Expense,Alcohol & Bars,Platinum Card,2018-11
2018-11-17,Hardware Store,-15.47,Expense,Home Improvement,Platinum Card,2018-11
2018-11-17,Hardware Store,-6.4,Expense,Home Improvement,Platinum Card,2018-11
2018-11-17,Greek Restaurant,-23.26,Expense,Restaurants,Platinum Card,2018-11
2018-11-19,Brewing Company,-20.0,Expense,Alcohol & Bars,Silver Card,2018-11
2018-11-19,QuikTrip,-29.15,Expense,Gas & Fuel,Silver Card,2018-11
2018-11-19,Hardware Store,-10.02,Expense,Home Improvement,Silver Card,2018-11
2018-11-20,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-11
2018-11-20,Credit Card Payment,421.96,Income,Credit Card Payment,Platinum Card,2018-11
2018-11-21,Grocery Store,-5.64,Expense,Groceries,Silver Card,2018-11
2018-11-21,Hardware Store,-37.41,Expense,Home Improvement,Platinum Card,2018-11
2018-11-23,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-11
2018-11-26,American Tavern,-16.8,Expense,Alcohol & Bars,Silver Card,2018-11
2018-11-26,Internet Service Provider,-74.99,Expense,Internet,Checking,2018-11
2018-11-27,Movie Theater,-17.0,Expense,Movies & Dvds,Silver Card,2018-11
2018-11-27,American Tavern,-28.4,Expense,Restaurants,Silver Card,2018-11
2018-11-29,Credit Card Payment,582.99,Income,Credit Card Payment,Silver Card,2018-11
2018-11-29,Credit Card Payment,751.5,Income,Credit Card Payment,Platinum Card,2018-11
2018-11-30,Credit Card Payment,-582.99,Expense,Credit Card Payment,Checking,2018-11
2018-11-30,Grocery Store,-6.27,Expense,Groceries,Silver Card,2018-11
2018-12-01,Grocery Store,-5.64,Expense,Groceries,Silver Card,2018-12
2018-12-01,Brunch Restaurant,-8.0,Expense,Restaurants,Silver Card,2018-12
2018-12-01,Amazon,-13.13,Expense,Shopping,Platinum Card,2018-12
2018-12-03,BP,-30.03,Expense,Gas & Fuel,Silver Card,2018-12
2018-12-03,Grocery Store,-148.15,Expense,Groceries,Silver Card,2018-12
2018-12-03,Mortgage Payment,-1209.18,Expense,Mortgage & Rent,Checking,2018-12
2018-12-04,Starbucks,-3.0,Expense,Coffee Shops,Silver Card,2018-12
2018-12-04,Latin Restaurant,-20.65,Expense,Fast Food,Platinum Card,2018-12
2018-12-04,Netflix,-11.76,Expense,Movies & Dvds,Platinum Card,2018-12
2018-12-06,Grocery Store,-21.38,Expense,Groceries,Platinum Card,2018-12
2018-12-06,Grocery Store,-13.48,Expense,Groceries,Platinum Card,2018-12
2018-12-06,Gas Company,-40.0,Expense,Utilities,Checking,2018-12
2018-12-07,Barbershop,-30.0,Expense,Haircut,Platinum Card,2018-12
2018-12-07,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-12
2018-12-08,Grocery Store,-12.64,Expense,Groceries,Platinum Card,2018-12
2018-12-09,Spotify,-10.69,Expense,Music,Platinum Card,2018-12
2018-12-11,Brunch Restaurant,-10.29,Expense,Restaurants,Platinum Card,2018-12
2018-12-12,Phone Company,-89.54,Expense,Mobile Phone,Checking,2018-12
2018-12-13,Thai Restaurant,-27.0,Expense,Restaurants,Silver Card,2018-12
2018-12-14,Grocery Store,-21.39,Expense,Groceries,Silver Card,2018-12
2018-12-14,Hardware Store,-17.1,Expense,Home Improvement,Silver Card,2018-12
2018-12-14,Power Company,-60.0,Expense,Utilities,Checking,2018-12
2018-12-17,American Tavern,-63.0,Expense,Other,Silver Card,2018-12
2018-12-17,BP,-20.01,Expense,Gas & Fuel,Silver Card,2018-12
2018-12-17,City Water Charges,-35.0,Expense,Utilities,Checking,2018-12
2018-12-18,Starbucks,-3.0,Expense,Coffee Shops,Silver Card,2018-12
2018-12-18,Credit Card Payment,311.02,Income,Credit Card Payment,Platinum Card,2018-12
2018-12-18,Credit Card Payment,-311.02,Expense,Credit Card Payment,Checking,2018-12
2018-12-18,Fancy Restaurant,-56.52,Expense,Restaurants,Silver Card,2018-12
2018-12-18,Amazon,-49.99,Expense,Shopping,Platinum Card,2018-12
2018-12-18,Amazon,-41.72,Expense,Shopping,Platinum Card,2018-12
2018-12-18,Amazon,-24.3,Expense,Shopping,Platinum Card,2018-12
2018-12-19,State Farm,-75.0,Expense,Auto Insurance,Checking,2018-12
2018-12-19,Amazon,-43.01,Expense,Shopping,Platinum Card,2018-12
2018-12-20,Credit Card Payment,464.03,Income,Credit Card Payment,Silver Card,2018-12
2018-12-20,Shell,-30.38,Expense,Gas & Fuel,Silver Card,2018-12
2018-12-21,Credit Card Payment,-464.03,Expense,Credit Card Payment,Checking,2018-12
2018-12-21,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2018-12
2018-12-22,New York Deli,-21.38,Expense,Fast Food,Platinum Card,2018-12
2018-12-22,Hardware Store,-22.14,Expense,Home Improvement,Platinum Card,2018-12
2018-12-23,Hardware Store,-28.0,Expense,Home Improvement,Platinum Card,2018-12
2018-12-24,Hardware Store,-38.4,Expense,Home Improvement,Platinum Card,2018-12
2018-12-26,Chick-Fil-A,-56.07,Expense,Fast Food,Platinum Card,2018-12
2018-12-26,Shell,-32.47,Expense,Gas & Fuel,Platinum Card,2018-12
2018-12-26,Shell,-7.48,Expense,Gas & Fuel,Platinum Card,2018-12
2018-12-26,Internet Service Provider,-75.99,Expense,Internet,Checking,2018-12
2018-12-26,Amazon,-44.99,Expense,Shopping,Platinum Card,2018-12
2018-12-28,Brewing Company,-12.0,Expense,Alcohol & Bars,Silver Card,2018-12
2018-12-29,Brewing Company,-14.0,Expense,Alcohol & Bars,Silver Card,2018-12
2018-12-29,Credit Card Payment,860.05,Income,Credit Card Payment,Platinum Card,2018-12
2018-12-29,Grocery Store,-55.04,Expense,Groceries,Silver Card,2018-12
2019-01-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-01
2019-01-02,Credit Card Payment,-499.6,Expense,Credit Card Payment,Checking,2019-01
2019-01-03,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-01
2019-01-03,Amazon,-42.1,Expense,Shopping,Platinum Card,2019-01
2019-01-04,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-01
2019-01-05,American Tavern,-23.49,Expense,Restaurants,Platinum Card,2019-01
2019-01-08,Gas Company,-45.0,Expense,Utilities,Checking,2019-01
2019-01-09,Credit Card Payment,491.45,Income,Credit Card Payment,Platinum Card,2019-01
2019-01-09,Credit Card Payment,-491.45,Expense,Credit Card Payment,Checking,2019-01
2019-01-09,Credit Card Payment,-281.84,Expense,Credit Card Payment,Checking,2019-01
2019-01-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-01
2019-01-10,Grocery Store,-58.79,Expense,Groceries,Silver Card,2019-01
2019-01-10,Barbershop,-30.0,Expense,Haircut,Silver Card,2019-01
2019-01-10,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-01
2019-01-14,Shell,-28.92,Expense,Gas & Fuel,Silver Card,2019-01
2019-01-15,Grocery Store,-6.06,Expense,Groceries,Silver Card,2019-01
2019-01-16,City Water Charges,-35.0,Expense,Utilities,Checking,2019-01
2019-01-16,Power Company,-60.0,Expense,Utilities,Checking,2019-01
2019-01-18,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-01
2019-01-18,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-01
2019-01-21,Credit Card Payment,277.99,Income,Credit Card Payment,Silver Card,2019-01
2019-01-22,Credit Card Payment,-277.99,Expense,Credit Card Payment,Checking,2019-01
2019-01-24,Grocery Store,-21.06,Expense,Groceries,Silver Card,2019-01
2019-01-24,Amazon,-11.7,Expense,Shopping,Platinum Card,2019-01
2019-01-24,Amazon,-4.21,Expense,Shopping,Platinum Card,2019-01
2019-01-25,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-01
2019-01-31,Credit Card Payment,-1900.0,Expense,Credit Card Payment,Checking,2019-01
2019-01-31,Shell,-31.32,Expense,Gas & Fuel,Silver Card,2019-01
2019-02-01,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-02
2019-02-01,Roadside Diner,-9.47,Expense,Restaurants,Silver Card,2019-02
2019-02-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-02
2019-02-04,Hardware Store,-86.97,Expense,Home Improvement,Silver Card,2019-02
2019-02-04,Netflix,-11.76,Expense,Television,Platinum Card,2019-02
2019-02-05,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-02
2019-02-07,Gas Company,-65.0,Expense,Utilities,Checking,2019-02
2019-02-08,Starbucks,-3.0,Expense,Coffee Shops,Platinum Card,2019-02
2019-02-08,Thai Restaurant,-27.47,Expense,Restaurants,Platinum Card,2019-02
2019-02-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-02
2019-02-11,Starbucks,-3.0,Expense,Coffee Shops,Platinum Card,2019-02
2019-02-11,Credit Card Payment,-133.95,Expense,Credit Card Payment,Checking,2019-02
2019-02-11,BP,-24.01,Expense,Gas & Fuel,Platinum Card,2019-02
2019-02-12,Grocery Store,-30.54,Expense,Groceries,Platinum Card,2019-02
2019-02-12,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-02
2019-02-13,Grocery Store,-8.21,Expense,Groceries,Platinum Card,2019-02
2019-02-15,Credit Card Payment,207.47,Income,Credit Card Payment,Platinum Card,2019-02
2019-02-15,Credit Card Payment,-207.47,Expense,Credit Card Payment,Checking,2019-02
2019-02-15,Grocery Store,-4.59,Expense,Groceries,Platinum Card,2019-02
2019-02-15,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-02
2019-02-15,Power Company,-60.0,Expense,Utilities,Checking,2019-02
2019-02-16,Brewing Company,-8.0,Expense,Alcohol & Bars,Platinum Card,2019-02
2019-02-16,American Tavern,-32.75,Expense,Restaurants,Platinum Card,2019-02
2019-02-16,Amazon,-37.45,Expense,Shopping,Platinum Card,2019-02
2019-02-19,Credit Card Payment,-574.84,Expense,Credit Card Payment,Checking,2019-02
2019-02-19,City Water Charges,-35.0,Expense,Utilities,Checking,2019-02
2019-02-20,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-02
2019-02-20,Credit Card Payment,292.54,Income,Credit Card Payment,Silver Card,2019-02
2019-02-20,Barbershop,-30.0,Expense,Haircut,Platinum Card,2019-02
2019-02-21,Credit Card Payment,-292.54,Expense,Credit Card Payment,Checking,2019-02
2019-02-21,Grocery Store,-46.96,Expense,Groceries,Silver Card,2019-02
2019-02-25,BP,-33.8,Expense,Gas & Fuel,Silver Card,2019-02
2019-02-25,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-02
2019-02-27,Roadside Diner,-25.77,Expense,Restaurants,Silver Card,2019-02
2019-02-28,Grocery Store,-32.07,Expense,Groceries,Silver Card,2019-02
2019-03-01,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-03
2019-03-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-03
2019-03-04,Grocery Store,-92.04,Expense,Groceries,Silver Card,2019-03
2019-03-04,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-03
2019-03-04,Netflix,-11.76,Expense,Television,Platinum Card,2019-03
2019-03-05,Fancy Restaurant,-7.0,Expense,Restaurants,Silver Card,2019-03
2019-03-06,Credit Card Payment,-491.86,Expense,Credit Card Payment,Checking,2019-03
2019-03-08,BP,-34.08,Expense,Gas & Fuel,Platinum Card,2019-03
2019-03-08,Amazon,-27.17,Expense,Shopping,Platinum Card,2019-03
2019-03-08,Gas Company,-49.0,Expense,Utilities,Checking,2019-03
2019-03-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-03
2019-03-12,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-03
2019-03-12,Bakery Place,-3.02,Expense,Restaurants,Platinum Card,2019-03
2019-03-13,Credit Card Payment,532.86,Income,Credit Card Payment,Platinum Card,2019-03
2019-03-13,Credit Card Payment,301.79,Income,Credit Card Payment,Silver Card,2019-03
2019-03-14,Credit Card Payment,-305.27,Expense,Credit Card Payment,Checking,2019-03
2019-03-14,Credit Card Payment,-301.79,Expense,Credit Card Payment,Checking,2019-03
2019-03-14,Brunch Restaurant,-8.0,Expense,Restaurants,Platinum Card,2019-03
2019-03-15,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-03
2019-03-15,Power Company,-60.0,Expense,Utilities,Checking,2019-03
2019-03-18,Best Buy,-320.99,Expense,Other,Platinum Card,2019-03
2019-03-18,Grocery Store,-16.23,Expense,Groceries,Platinum Card,2019-03
2019-03-19,Amazon,-13.84,Expense,Shopping,Platinum Card,2019-03
2019-03-19,City Water Charges,-35.0,Expense,Utilities,Checking,2019-03
2019-03-20,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-03
2019-03-22,BP,-37.51,Expense,Gas & Fuel,Platinum Card,2019-03
2019-03-23,Starbucks,-5.2,Expense,Coffee Shops,Platinum Card,2019-03
2019-03-25,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-03
2019-03-26,Amazon,-16.04,Expense,Shopping,Platinum Card,2019-03
2019-03-27,Brewing Company,-49.63,Expense,Alcohol & Bars,Platinum Card,2019-03
2019-03-27,Grocery Store,-4.46,Expense,Groceries,Platinum Card,2019-03
2019-03-29,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-03
2019-03-30,Starbucks,-12.84,Expense,Coffee Shops,Platinum Card,2019-03
2019-03-31,Credit Card Payment,957.6,Income,Credit Card Payment,Platinum Card,2019-03
2019-04-01,Credit Card Payment,-1552.65,Expense,Credit Card Payment,Checking,2019-04
2019-04-01,Credit Card Payment,600.51,Income,Credit Card Payment,Platinum Card,2019-04
2019-04-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-04
2019-04-02,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-04
2019-04-04,Grocery Store,-5.64,Expense,Groceries,Platinum Card,2019-04
2019-04-04,Amazon,-35.9,Expense,Shopping,Platinum Card,2019-04
2019-04-04,Netflix,-11.76,Expense,Television,Platinum Card,2019-04
2019-04-06,Amazon,-27.54,Expense,Shopping,Platinum Card,2019-04
2019-04-08,Gas Company,-30.0,Expense,Utilities,Checking,2019-04
2019-04-09,Credit Card Payment,-436.75,Expense,Credit Card Payment,Checking,2019-04
2019-04-09,Grocery Store,-10.7,Expense,Groceries,Platinum Card,2019-04
2019-04-09,Barbershop,-30.0,Expense,Haircut,Platinum Card,2019-04
2019-04-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-04
2019-04-10,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-04
2019-04-12,Best Buy,-44.93,Expense,Other,Silver Card,2019-04
2019-04-12,Grocery Store,-41.34,Expense,Groceries,Platinum Card,2019-04
2019-04-12,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-04
2019-04-13,QuikTrip,-38.94,Expense,Gas & Fuel,Platinum Card,2019-04
2019-04-13,Grocery Store,-16.87,Expense,Groceries,Platinum Card,2019-04
2019-04-13,Vietnamese Restaurant,-20.64,Expense,Restaurants,Platinum Card,2019-04
2019-04-15,Power Company,-60.0,Expense,Utilities,Checking,2019-04
2019-04-16,City Water Charges,-35.0,Expense,Utilities,Checking,2019-04
2019-04-18,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-04
2019-04-18,Credit Card Payment,604.32,Income,Credit Card Payment,Silver Card,2019-04
2019-04-18,Credit Card Payment,458.1,Income,Credit Card Payment,Platinum Card,2019-04
2019-04-19,Credit Card Payment,-604.32,Expense,Credit Card Payment,Checking,2019-04
2019-04-19,Grocery Store,-10.89,Expense,Groceries,Platinum Card,2019-04
2019-04-22,Brewing Company,-14.4,Expense,Alcohol & Bars,Silver Card,2019-04
2019-04-22,Greek Restaurant,-64.52,Expense,Restaurants,Silver Card,2019-04
2019-04-23,Hardware Store,-29.56,Expense,Home Improvement,Silver Card,2019-04
2019-04-25,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-04
2019-04-26,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-04
2019-04-27,Brewing Company,-40.0,Expense,Alcohol & Bars,Platinum Card,2019-04
2019-04-27,Credit Card Payment,268.96,Income,Credit Card Payment,Silver Card,2019-04
2019-04-27,American Tavern,-14.74,Expense,Restaurants,Silver Card,2019-04
2019-04-29,Credit Card Payment,-268.96,Expense,Credit Card Payment,Checking,2019-04
2019-04-29,Grocery Store,-5.64,Expense,Groceries,Platinum Card,2019-04
2019-04-30,BP,-39.08,Expense,Gas & Fuel,Platinum Card,2019-04
2019-05-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-05
2019-05-02,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-05
2019-05-03,Credit Card Payment,-758.07,Expense,Credit Card Payment,Checking,2019-05
2019-05-04,Netflix,-13.9,Expense,Television,Platinum Card,2019-05
2019-05-06,Amazon,-16.94,Expense,Shopping,Platinum Card,2019-05
2019-05-07,Amazon,-38.56,Expense,Shopping,Platinum Card,2019-05
2019-05-09,Best Buy,-331.69,Expense,Other,Platinum Card,2019-05
2019-05-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-05
2019-05-09,Target,-3.2,Expense,Shopping,Platinum Card,2019-05
2019-05-09,Gas Company,-30.0,Expense,Utilities,Checking,2019-05
2019-05-10,Best Buy,-21.39,Expense,Other,Silver Card,2019-05
2019-05-10,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-05
2019-05-10,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-05
2019-05-13,Credit Card Payment,-480.88,Expense,Credit Card Payment,Checking,2019-05
2019-05-13,QuikTrip,-35.24,Expense,Gas & Fuel,Silver Card,2019-05
2019-05-13,Fancy Restaurant,-98.19,Expense,Restaurants,Silver Card,2019-05
2019-05-13,Greek Restaurant,-23.11,Expense,Restaurants,Silver Card,2019-05
2019-05-14,Grocery Store,-2.02,Expense,Groceries,Silver Card,2019-05
2019-05-15,Power Company,-60.0,Expense,Utilities,Checking,2019-05
2019-05-17,Credit Card Payment,575.33,Income,Credit Card Payment,Platinum Card,2019-05
2019-05-17,City Water Charges,-35.0,Expense,Utilities,Checking,2019-05
2019-05-20,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-05
2019-05-20,Credit Card Payment,-415.47,Expense,Credit Card Payment,Checking,2019-05
2019-05-20,American Tavern,-32.53,Expense,Restaurants,Silver Card,2019-05
2019-05-24,Credit Card Payment,765.68,Income,Credit Card Payment,Silver Card,2019-05
2019-05-24,Hardware Store,-27.96,Expense,Home Improvement,Platinum Card,2019-05
2019-05-24,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-05
2019-05-24,Brunch Restaurant,-8.0,Expense,Restaurants,Platinum Card,2019-05
2019-05-25,QuikTrip,-36.76,Expense,Gas & Fuel,Platinum Card,2019-05
2019-05-25,Hardware Store,-30.99,Expense,Home Improvement,Platinum Card,2019-05
2019-05-27,Mexican Restaurant,-34.33,Expense,Restaurants,Platinum Card,2019-05
2019-05-28,Credit Card Payment,-765.68,Expense,Credit Card Payment,Checking,2019-05
2019-05-30,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-05
2019-05-30,American Tavern,-34.82,Expense,Restaurants,Platinum Card,2019-05
2019-06-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-06
2019-06-03,Starbucks,-2.75,Expense,Coffee Shops,Platinum Card,2019-06
2019-06-03,Credit Card Payment,260.95,Income,Credit Card Payment,Platinum Card,2019-06
2019-06-03,Mortgage Payment,-1100.0,Expense,Mortgage & Rent,Checking,2019-06
2019-06-04,Barbershop,-30.0,Expense,Haircut,Platinum Card,2019-06
2019-06-04,Netflix,-13.9,Expense,Television,Platinum Card,2019-06
2019-06-05,Grocery Store,-23.0,Expense,Groceries,Platinum Card,2019-06
2019-06-05,Mexican Restaurant,-23.24,Expense,Restaurants,Platinum Card,2019-06
2019-06-06,Starbucks,-3.75,Expense,Coffee Shops,Platinum Card,2019-06
2019-06-06,Grocery Store,-5.64,Expense,Groceries,Platinum Card,2019-06
2019-06-07,Credit Card Payment,-458.56,Expense,Credit Card Payment,Checking,2019-06
2019-06-07,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-06
2019-06-07,Gas Company,-30.0,Expense,Utilities,Checking,2019-06
2019-06-09,Spotify,-10.69,Expense,Music,Platinum Card,2019-06
2019-06-12,Phone Company,-65.0,Expense,Mobile Phone,Checking,2019-06
2019-06-13,Credit Card Payment,152.72,Income,Credit Card Payment,Platinum Card,2019-06
2019-06-13,Credit Card Payment,-152.72,Expense,Credit Card Payment,Checking,2019-06
2019-06-14,Grocery Store,-10.69,Expense,Groceries,Silver Card,2019-06
2019-06-15,BP,-33.16,Expense,Gas & Fuel,Silver Card,2019-06
2019-06-17,City Water Charges,-35.0,Expense,Utilities,Checking,2019-06
2019-06-17,Power Company,-60.0,Expense,Utilities,Checking,2019-06
2019-06-18,Brewing Company,-15.0,Expense,Alcohol & Bars,Silver Card,2019-06
2019-06-18,Shell,-41.83,Expense,Gas & Fuel,Silver Card,2019-06
2019-06-19,State Farm,-75.0,Expense,Auto Insurance,Checking,2019-06
2019-06-20,Credit Card Payment,-375.26,Expense,Credit Card Payment,Checking,2019-06
2019-06-20,Mike's Construction Co.,-9200.0,Expense,Home Improvement,Checking,2019-06
2019-06-20,Credit Card Payment,100.68,Income,Credit Card Payment,Silver Card,2019-06
2019-06-21,Credit Card Payment,-100.68,Expense,Credit Card Payment,Checking,2019-06
2019-06-21,Biweekly Paycheck,2000.0,Income,Paycheck,Checking,2019-06
2019-06-24,Brewing Company,-15.0,Expense,Alcohol & Bars,Silver Card,2019-06
2019-06-28,BP,-30.64,Expense,Gas & Fuel,Silver Card,2019-06
2019-06-30,Internet Service Provider,-75.0,Expense,Internet,Checking,2019-06
2019-07-01,Starbucks,-7.0,Expense,Coffee Shops,Silver Card,2019-07
2019-07-01,Grocery Store,-99.47,Expense,Groceries,Silver Card,2019-07
2019-07-01,Hawaiian Grill,-24.97,Expense,Restaurants,Silver Card,2019-07
2019-07-01,Thai Restaurant,-24.0,Expense,Restaurants,Silver Card,2019-07
2019-07-01,Amazon,-13.09,Expense,Shopping,Platinum Card,2019-07
